ZCTA5CE10,population,household_income,not_citizen_over_pop,n_killed_total,n_injured_total,n_killed_by_pop,n_injured_by_pop,year
33411,70441,23765,0.087860763,1,0,1.42E-05,0,2018
33431,19720,7222,0.126115619,0,1,0,5.07E-05,2018
33431,19720,7222,0.126115619,0,0,0,0,2017
33431,19720,7222,0.126115619,1,1,5.07E-05,5.07E-05,2016
33431,19720,7222,0.126115619,1,2,5.07E-05,0.00010142,2015
33431,19720,7222,0.126115619,1,0,5.07E-05,0,2014
33441,27214,11285,0.134342618,0,1,0,3.67E-05,2017
33441,27214,11285,0.134342618,0,0,0,0,2014
33441,27214,11285,0.134342618,3,0,0.000110237,0,2016
33441,27214,11285,0.134342618,1,0,3.67E-05,0,2018
33441,27214,11285,0.134342618,0,0,0,0,2015
33594,35437,12429,0.037079888,0,0,0,0,2017
33594,35437,12429,0.037079888,1,0,2.82E-05,0,2016
33549,16931,6420,0.039454256,1,0,5.91E-05,0,2017
33549,16931,6420,0.039454256,0,0,0,0,2016
33569,26170,9203,0.031410011,0,2,0,7.64E-05,2017
33569,26170,9203,0.031410011,0,0,0,0,2016
33573,21334,12263,0.018046311,0,0,0,0,2017
33573,21334,12263,0.018046311,0,5,0,0.000234368,2016
33602,13929,7470,0.065115945,3,2,0.000215378,0.000143585,2015
33602,13929,7470,0.065115945,2,3,0.000143585,0.000215378,2016
33602,13929,7470,0.065115945,2,7,0.000143585,0.000502549,2014
33602,13929,7470,0.065115945,2,3,0.000143585,0.000215378,2017
33602,13929,7470,0.065115945,1,1,7.18E-05,7.18E-05,2018
33624,38139,14697,0.060699022,1,1,2.62E-05,2.62E-05,2016
33624,38139,14697,0.060699022,0,2,0,5.24E-05,2014
33624,38139,14697,0.060699022,0,0,0,0,2017
33624,38139,14697,0.060699022,1,0,2.62E-05,0,2018
33710,34043,13582,0.04227007,0,3,0,8.81E-05,2015
33710,34043,13582,0.04227007,0,1,0,2.94E-05,2017
33710,34043,13582,0.04227007,1,0,2.94E-05,0,2014
33710,34043,13582,0.04227007,0,1,0,2.94E-05,2016
33759,18060,7727,0.071096346,1,0,5.54E-05,0,2018
33759,18060,7727,0.071096346,1,0,5.54E-05,0,2014
33759,18060,7727,0.071096346,0,1,0,5.54E-05,2017
33759,18060,7727,0.071096346,0,0,0,0,2016
33762,7666,2604,0.025958779,2,1,0.000260892,0.000130446,2017
33762,7666,2604,0.025958779,0,0,0,0,2014
33762,7666,2604,0.025958779,1,0,0.000130446,0,2016
33762,7666,2604,0.025958779,0,0,0,0,2015
